author,category,language,editor,edition,totalPages,damagedPages,age,price
Daniel Small,History,Spanish,Cambridge,8th,259,20,5,81.94
Lisa Nguyen,Technology,French,Oxford,9th,166,5,8,18.72
Kathy Molina,Philosophy,Spanish,Springer,2th,628,38,9,149.61
Joseph Juarez,Philosophy,Spanish,Springer,5th,824,43,0,88.75
Jeffrey Bradley,Technology,Italian,Penguin,7th,256,3,3,34.58
Gary Higgins,History,Spanish,Springer,6th,848,62,5,43.31
Christina Banks,Biography,English,HarperCollins,4th,542,20,4,4.91
Rachel Morrison,Technology,Spanish,HarperCollins,6th,435,19,4,51.37
Scott Williams,Fantasy,English,Cambridge,7th,531,44,8,29.87
Paul Sanchez,Biography,Italian,Penguin,6th,300,14,0,75.97
Kelly Turner,Fiction,Spanish,Pearson,4th,861,84,6,0.5
Erica Miller,Technology,Spanish,Cambridge,9th,120,3,3,37.25
Shelley Benton,Technology,French,Springer,4th,975,15,0,0.5
Scott Hines,Biography,German,Macmillan,4th,375,5,10,89.95
Paul Garcia,Fantasy,Italian,Macmillan,1th,264,5,6,95.21
Caleb Sutton,Science,Spanish,Penguin,4th,771,32,8,7.56
Amanda Martinez,Science,Spanish,Pearson,10th,578,3,1,94.35
Gerald Lopez,Biography,English,Penguin,10th,958,94,6,3.94
Scott Burch,Fantasy,Spanish,Penguin,4th,875,71,0,19.49
Kathleen Gilbert,Biography,Spanish,Macmillan,5th,349,6,9,33.49
Shannon Harris,Biography,Italian,Pearson,4th,293,13,7,39.94
Matthew Ballard,History,English,Oxford,3th,666,60,7,60.59
Daniel Williams,Science,French,Oxford,3th,854,19,6,25.57
Steven Smith,Fiction,German,Cambridge,8th,808,18,10,46.71
Brian Miller,Fantasy,French,HarperCollins,9th,455,13,8,17.68
Shelia Russo,Technology,German,Oxford,2th,979,37,0,12.31
Tina Smith,Fantasy,English,Simon & Schuster,10th,779,59,7,28.85
Barry James,Biography,Spanish,Macmillan,6th,944,12,5,11.67
Mason Williamson,Technology,French,Pearson,9th,825,11,0,17.69
Sean Caldwell,Technology,French,Oxford,3th,396,33,8,44.73
Patricia Lester,Non-Fiction,German,Macmillan,1th,449,32,9,15.93
Brian Brennan,Fantasy,French,Macmillan,6th,619,14,5,0.5
Maureen Galloway,Non-Fiction,English,HarperCollins,9th,557,8,4,85.13
Shannon Sanders,Fiction,French,Pearson,8th,731,25,2,88.17
